Image ID,Method 1,Method 2,Result
82,7,13,2
91,7,13,2
88,7,13,1
83,7,13,2
82,7,13,2
85,7,13,2
88,7,13,2
88,7,13,2
94,7,13,2
99,7,13,2
82,1,14,2
84,1,14,2
90,1,14,2
97,1,14,1
98,1,14,2
93,1,14,2
85,1,14,2
93,1,14,2
89,1,14,2
88,1,14,2
97,1,14,1
85,1,14,2
92,1,14,2
94,1,14,2
98,1,14,2
85,1,14,1
97,1,14,1
87,1,14,2
92,1,14,2
92,1,14,2
100,1,14,2
100,1,14,2
87,1,14,2
81,1,14,2
96,1,14,1
82,1,14,2
92,1,14,2
88,1,14,2
85,1,14,1
84,1,14,2
87,1,14,2
98,1,14,2
87,1,14,2
96,1,14,1
81,1,14,2
87,1,14,2
96,1,14,1
93,5,11,1
87,5,11,2
84,5,11,2
98,5,11,2
91,5,11,2
89,5,11,1
97,5,11,1
100,5,11,1
96,5,11,2
87,5,11,2
100,5,11,2
81,5,11,1
91,5,11,2
96,5,11,1
94,5,11,1
81,5,11,1
91,5,11,2
83,5,11,2
99,5,11,1
100,5,11,1
90,5,11,2
99,5,11,2
87,5,11,2
87,5,11,2
98,5,11,1
100,5,11,2
97,5,11,2
95,5,11,2
92,5,11,1
82,5,11,2
99,5,11,1
100,5,11,2
97,5,11,1
83,5,11,1
83,5,11,2
87,5,11,2
99,5,11,1
96,9,12,1
93,9,12,1
95,9,12,1
92,9,12,1
99,9,12,1
86,9,12,1
95,9,12,1
93,9,12,2
90,9,12,1
87,9,12,2
90,9,12,2
88,9,12,1
81,9,12,1
90,9,12,2
94,9,12,1
85,9,12,1
92,9,12,1
92,9,12,1
85,9,12,1
88,9,12,2
84,9,12,2
82,9,12,2
91,9,12,1
87,9,12,1
81,9,12,1
97,9,12,2
93,9,12,1
99,9,12,1
81,9,12,1
100,9,12,1
86,9,12,2
96,9,12,2
99,9,12,1
100,9,12,2
93,9,12,1
90,9,12,1
84,9,12,2
90,4,14,2
88,4,14,1
86,4,14,1
95,4,14,1
86,4,14,1
83,4,14,1
94,4,14,1
88,4,14,2
86,4,14,2
96,4,14,1
96,4,14,1
85,4,14,1
94,4,14,2
95,4,14,1
85,4,14,1
97,4,14,1
84,4,14,1
82,4,14,1
97,4,14,1
99,4,14,2
97,4,14,1
84,4,14,1
81,4,14,2
98,4,14,1
95,4,14,1
92,4,14,1
82,4,14,1
93,4,14,2
85,4,14,2
84,4,14,1
84,4,14,1
84,4,14,1
98,4,14,2
92,4,14,1
93,4,14,2
89,4,14,1
83,4,14,2
82,8,13,1
95,8,13,1
82,8,13,2
100,8,13,2
88,8,13,2
95,8,13,1
82,8,13,2
86,8,13,2
96,8,13,2
91,8,13,2
93,8,13,1
81,8,13,2
85,8,13,2
97,8,13,1
98,8,13,1
90,8,13,1
83,8,13,2
97,8,13,1
84,8,13,2
82,8,13,2
81,8,13,2
86,8,13,1
91,8,13,2
100,8,13,2
97,8,13,1
96,8,13,2
81,8,13,2
92,8,13,1
84,8,13,2
86,8,13,1
87,8,13,2
98,8,13,2
94,8,13,1
92,8,13,2
83,8,13,2
93,8,13,2
92,8,13,2
97,3,11,1
89,3,11,2
91,3,11,2
94,3,11,2
96,3,11,2
91,3,11,2
84,3,11,2
98,3,11,1
99,3,11,2
98,3,11,2
81,3,11,1
81,3,11,2
83,3,11,2
87,3,11,2
81,3,11,1
82,3,11,1
100,3,11,1
93,3,11,1
98,3,11,1
92,3,11,2
85,3,11,2
97,3,11,2
90,3,11,2
83,3,11,2
94,3,11,2
84,3,11,2
94,3,11,1
86,3,11,2
92,3,11,1
87,3,11,2
83,3,11,2
87,3,11,2
90,3,11,1
87,3,11,2
97,3,11,1
90,3,11,2
83,3,11,2
96,12,13,2
95,12,13,2
93,12,13,2
84,12,13,2
96,12,13,2
98,12,13,1
85,12,13,2
87,12,13,2
81,12,13,2
87,12,13,2
94,12,13,2
95,12,13,1
99,12,13,2
92,12,13,2
82,12,13,2
81,12,13,1
99,12,13,2
84,12,13,2
100,12,13,2
87,12,13,2
85,12,13,2
85,12,13,2
87,12,13,2
87,12,13,2
90,12,13,2
90,12,13,2
82,12,13,2
95,12,13,1
87,12,13,2
90,12,13,2
97,12,13,1
82,12,13,2
87,12,13,2
91,12,13,2
91,12,13,2
89,12,13,2
94,12,13,2
97,3,9,1
87,3,9,2
92,3,9,2
81,3,9,2
98,3,9,1
96,3,9,1
91,3,9,2
98,3,9,2
86,3,9,2
98,3,9,2
99,3,9,1
90,3,9,2
89,3,9,2
84,3,9,2
94,3,9,1
86,3,9,2
83,3,9,2
92,3,9,2
95,3,9,2
89,3,9,1
90,3,9,1
92,3,9,2
82,3,9,2
90,3,9,2
93,3,9,1
91,3,9,2
99,3,9,2
96,3,9,1
84,3,9,2
85,3,9,1
93,3,9,2
91,3,9,2
95,3,9,2
93,3,9,2
90,3,9,2
84,3,9,2
93,3,9,2
83,6,7,2
89,6,7,1
91,6,7,2
98,6,7,2
97,6,7,2
91,6,7,2
89,6,7,2
95,6,7,1
83,6,7,2
98,6,7,2
95,6,7,1
96,6,7,1
86,6,7,1
97,6,7,2
85,6,7,1
85,6,7,1
88,6,7,1
85,6,7,2
82,6,7,1
87,6,7,2
98,6,7,1
98,6,7,1
98,6,7,2
85,6,7,1
82,6,7,1
83,6,7,2
96,6,7,1
98,6,7,2
87,6,7,2
100,6,7,2
91,6,7,1
91,6,7,1
99,6,7,1
98,6,7,2
85,6,7,1
91,6,7,1
87,6,7,1
99,1,13,2
90,1,13,2
90,1,13,2
85,1,13,2
91,1,13,2
90,1,13,2
81,1,13,2
98,1,13,2
94,1,13,2
81,1,13,2
96,1,13,2
98,1,13,2
97,1,13,2
90,1,13,2
94,1,13,2
94,1,13,2
92,1,13,2
84,1,13,2
83,1,13,2
93,1,13,1
81,1,13,2
92,1,13,2
81,1,13,2
82,1,13,2
89,1,13,2
97,1,13,2
95,1,13,1
84,1,13,2
82,1,13,2
89,1,13,2
87,1,13,2
86,1,13,1
99,1,13,2
94,1,13,2
82,1,13,2
88,1,13,2
93,1,13,2
86,11,14,1
95,11,14,1
83,11,14,1
100,11,14,2
88,11,14,1
82,11,14,2
89,11,14,2
100,11,14,2
90,11,14,2
83,11,14,2
94,11,14,2
86,11,14,1
84,11,14,1
92,11,14,2
97,11,14,1
96,11,14,1
94,11,14,1
87,11,14,2
89,11,14,2
98,11,14,2
97,11,14,1
95,11,14,2
81,11,14,2
88,11,14,2
88,11,14,2
82,11,14,1
94,11,14,1
87,11,14,2
81,11,14,2
87,11,14,2
94,11,14,1
93,11,14,2
85,11,14,2
89,11,14,2
96,11,14,1
85,11,14,2
88,11,14,2
84,5,14,1
97,5,14,1
91,5,14,2
86,5,14,1
86,5,14,1
94,5,14,1
95,5,14,2
97,5,14,1
95,5,14,1
89,5,14,2
87,5,14,2
83,5,14,2
86,5,14,2
97,5,14,1
87,5,14,2
100,5,14,2
94,5,14,2
91,5,14,2
86,5,14,1
98,5,14,2
98,5,14,2
85,5,14,2
91,5,14,2
82,5,14,2
94,5,14,1
83,5,14,2
83,5,14,2
86,5,14,1
86,5,14,1
82,5,14,2
97,5,14,1
81,5,14,1
88,5,14,2
83,5,14,2
84,5,14,2
98,5,14,2
98,5,14,2
95,1,2,1
97,1,2,1
83,1,2,1
90,1,2,1
83,1,2,1
91,1,2,1
86,1,2,1
99,1,2,2
87,1,2,2
96,1,2,2
93,1,2,1
86,1,2,2
98,1,2,2
98,1,2,1
88,1,2,2
96,1,2,1
86,1,2,2
97,1,2,1
92,1,2,2
85,1,2,2
88,1,2,2
88,1,2,2
96,1,2,2
89,1,2,2
84,1,2,2
84,1,2,2
92,1,2,2
95,1,2,1
88,1,2,2
83,1,2,1
95,1,2,1
82,1,2,1
95,1,2,1
87,1,2,2
81,1,2,2
100,1,2,1
91,1,2,1
92,9,11,1
90,9,11,2
99,9,11,1
87,9,11,1
92,9,11,1
100,9,11,1
91,9,11,1
99,9,11,1
82,9,11,1
90,9,11,2
98,9,11,1
100,9,11,1
90,9,11,2
82,9,11,1
94,9,11,2
90,9,11,2
93,9,11,1
94,9,11,1
100,9,11,1
82,9,11,2
93,9,11,2
92,9,11,1
85,9,11,2
90,9,11,2
98,9,11,1
85,9,11,1
85,9,11,1
100,9,11,1
83,9,11,1
97,9,11,1
88,9,11,2
95,9,11,1
99,9,11,1
88,9,11,2
94,9,11,2
87,9,11,2
82,9,11,1
88,3,4,1
92,3,4,2
91,3,4,2
100,3,4,2
99,3,4,2
90,3,4,2
96,3,4,2
84,3,4,2
91,3,4,2
83,3,4,2
90,3,4,1
98,3,4,2
92,3,4,2
85,3,4,2
100,3,4,2
87,3,4,2
81,3,4,2
100,3,4,2
98,3,4,2
97,3,4,2
96,3,4,1
92,3,4,2
95,3,4,2
98,3,4,1
91,3,4,2
89,3,4,2
84,3,4,2
90,3,4,1
85,3,4,1
84,3,4,2
92,3,4,2
81,3,4,2
95,3,4,2
91,3,4,2
99,3,4,2
85,3,4,2
94,3,4,2
92,2,3,2
81,2,3,2
87,2,3,2
98,2,3,2
87,2,3,2
88,2,3,1
99,2,3,1
88,2,3,2
97,2,3,2
90,2,3,2
98,2,3,1
93,2,3,2
94,2,3,2
91,2,3,2
81,2,3,2
98,2,3,1
81,2,3,1
84,2,3,2
88,2,3,2
100,2,3,2
83,2,3,2
81,2,3,2
89,2,3,2
99,2,3,2
100,2,3,1
92,2,3,2
94,2,3,2
94,2,3,2
99,2,3,1
99,2,3,1
97,2,3,2
90,2,3,2
82,2,3,2
98,2,3,2
81,2,3,2
84,2,3,2
88,2,3,1
81,3,8,1
88,3,8,2
94,3,8,2
85,3,8,1
100,3,8,1
92,3,8,2
86,3,8,2
94,3,8,2
90,3,8,2
87,3,8,2
83,3,8,2
89,3,8,1
97,3,8,2
97,3,8,2
96,3,8,2
84,3,8,2
88,3,8,1
90,3,8,1
91,3,8,2
93,3,8,2
82,3,8,2
81,3,8,1
81,3,8,1
82,3,8,2
95,3,8,2
86,3,8,1
91,3,8,2
92,3,8,2
91,3,8,2
88,3,8,2
96,3,8,2
99,3,8,2
88,3,8,2
87,3,8,2
98,3,8,1
94,3,8,2
94,3,8,2
89,3,14,1
87,3,14,2
99,3,14,2
97,3,14,1
99,3,14,2
100,3,14,2
99,3,14,2
85,3,14,1
97,3,14,1
99,3,14,2
91,3,14,2
85,3,14,2
96,3,14,1
100,3,14,2
89,3,14,2
97,3,14,1
98,3,14,2
92,3,14,1
86,3,14,2
94,3,14,2
95,3,14,1
88,3,14,1
83,3,14,2
91,3,14,2
95,3,14,2
82,3,14,2
89,3,14,2
95,3,14,1
93,3,14,1
90,3,14,2
99,3,14,2
87,3,14,2
85,3,14,2
99,3,14,2
82,3,14,2
95,3,14,1
90,3,14,2
96,7,14,1
100,7,14,2
91,7,14,2
87,7,14,2
94,7,14,2
83,7,14,2
91,7,14,2
100,7,14,2
88,7,14,2
87,7,14,2
85,7,14,2
82,7,14,2
98,7,14,2
85,7,14,2
98,7,14,2
94,7,14,1
82,7,14,2
82,7,14,1
95,7,14,2
95,7,14,2
100,7,14,2
83,7,14,1
91,7,14,2
88,7,14,2
82,7,14,2
87,7,14,2
86,7,14,2
96,7,14,1
87,7,14,2
98,7,14,2
100,7,14,2
99,7,14,2
86,7,14,2
85,7,14,2
91,7,14,2
97,7,14,1
83,7,14,2
83,6,11,1
90,6,11,2
86,6,11,1
83,6,11,2
92,6,11,2
89,6,11,1
90,6,11,1
95,6,11,2
100,6,11,2
97,6,11,2
96,6,11,2
99,6,11,2
81,6,11,1
82,6,11,1
89,6,11,2
95,6,11,2
88,6,11,1
87,6,11,2
90,6,11,2
90,6,11,2
86,6,11,1
85,6,11,1
86,6,11,2
98,6,11,2
98,6,11,2
93,6,11,1
87,6,11,2
94,6,11,2
82,6,11,1
85,6,11,2
99,6,11,1
98,6,11,2
99,6,11,2
86,6,11,2
83,6,11,2
84,6,11,2
89,6,11,1
88,11,13,2
90,11,13,1
100,11,13,2
89,11,13,2
90,11,13,1
83,11,13,2
92,11,13,2
99,11,13,2
90,11,13,2
95,11,13,1
94,11,13,2
85,11,13,2
100,11,13,2
93,11,13,2
86,11,13,2
85,11,13,2
86,11,13,2
87,11,13,2
86,11,13,2
95,11,13,2
81,11,13,2
83,11,13,2
88,11,13,2
97,11,13,1
88,11,13,2
92,11,13,2
85,11,13,1
95,11,13,1
90,11,13,2
95,11,13,1
96,11,13,2
96,11,13,2
100,11,13,2
90,11,13,2
87,11,13,2
88,11,13,1
84,11,13,2
82,6,8,2
92,6,8,2
94,6,8,2
98,6,8,2
82,6,8,2
85,6,8,1
90,6,8,1
96,6,8,2
97,6,8,2
86,6,8,2
84,6,8,2
98,6,8,2
94,6,8,2
82,6,8,2
88,6,8,2
86,6,8,1
81,6,8,1
87,6,8,2
91,6,8,2
100,6,8,2
95,6,8,2
98,6,8,2
97,6,8,2
95,6,8,2
96,6,8,1
98,6,8,2
86,6,8,2
90,6,8,2
84,6,8,2
87,6,8,2
82,6,8,2
86,6,8,1
81,6,8,1
99,6,8,2
82,6,8,1
85,6,8,2
93,6,8,1
96,3,7,1
97,3,7,1
95,3,7,1
99,3,7,1
88,3,7,1
83,3,7,2
96,3,7,1
83,3,7,2
94,3,7,1
87,3,7,1
100,3,7,2
87,3,7,2
96,3,7,2
86,3,7,1
97,3,7,1
91,3,7,1
88,3,7,1
100,3,7,1
82,3,7,1
89,3,7,2
97,3,7,1
97,3,7,1
91,3,7,1
87,3,7,1
83,3,7,1
87,3,7,1
89,3,7,2
100,3,7,1
95,3,7,1
87,3,7,1
97,3,7,2
96,3,7,1
88,3,7,1
97,3,7,1
87,3,7,1
97,3,7,2
97,3,7,2
94,1,4,1
88,1,4,2
89,1,4,2
93,1,4,2
96,1,4,1
94,1,4,1
90,1,4,1
96,1,4,1
82,1,4,1
83,1,4,2
87,1,4,2
81,1,4,2
93,1,4,2
90,1,4,2
83,1,4,2
